id,gene,n1,n2,n3,n4,descrizione1,descrizione2
70,p2@PLAU,5328,9052,Q59GZ8,PLAU,"plasminogen activator, urokinase",gene with protein product
71,p5@PLAU,5328,9052,Q59GZ8,PLAU,"plasminogen activator, urokinase",gene with protein product
72,p11@PLAU,5328,9052,Q59GZ8,PLAU,"plasminogen activator, urokinase",gene with protein product
73,p7@PLAU,5328,9052,,PLAU,"plasminogen activator, urokinase",gene with protein product
74,p3@GATA3,2625,4172,,GATA3,GATA binding protein 3,gene with protein product
75,p1@GATA3,2625,4172,,GATA3,GATA binding protein 3,gene with protein product
76,p2@GATA3,2625,4172,P23771,GATA3,GATA binding protein 3,gene with protein product
77,p13@GATA3,2625,4172,P23771,GATA3,GATA binding protein 3,gene with protein product
78,p10@GATA3,2625,4172,P23771,GATA3,GATA binding protein 3,gene with protein product
79,p6@GATA3,2625,4172,P23771,GATA3,GATA binding protein 3,gene with protein product
80,p4@GATA3,2625,4172,P23771,GATA3,GATA binding protein 3,gene with protein product
81,p15@GATA3,2625,4172,P23771,GATA3,GATA binding protein 3,gene with protein product
82,p16@GATA3,2625,4172,P23771,GATA3,GATA binding protein 3,gene with protein product
83,p7@GATA3,2625,4172,,GATA3,GATA binding protein 3,gene with protein product
84,p20@GATA3,2625,4172,,GATA3,GATA binding protein 3,gene with protein product
85,p5@GATA3,2625,4172,,GATA3,GATA binding protein 3,gene with protein product
86,p5@PTEN,5728,9588,"F6KD01,P60484",PTEN,phosphatase and tensin homolog,gene with protein product
87,p6@PTEN,5728,9588,"F6KD01,P60484",PTEN,phosphatase and tensin homolog,gene with protein product
88,p3@PTEN,5728,9588,"F6KD01,P60484",PTEN,phosphatase and tensin homolog,gene with protein product
89,p1@PTEN,5728,9588,"F6KD01,P60484",PTEN,phosphatase and tensin homolog,gene with protein product
90,p4@PTEN,5728,9588,,PTEN,phosphatase and tensin homolog,gene with protein product
91,p2@PTEN,5728,9588,,PTEN,phosphatase and tensin homolog,gene with protein product
92,p9@PGR,5241,8910,A7LQ08,PGR,progesterone receptor,gene with protein product
93,p10@PGR,5241,8910,Q6TZ08,PGR,progesterone receptor,gene with protein product
94,p11@PGR,5241,8910,P06401,PGR,progesterone receptor,gene with protein product
95,p7@PGR,5241,8910,P06401,PGR,progesterone receptor,gene with protein product
96,p12@PGR,5241,8910,P06401,PGR,progesterone receptor,gene with protein product
97,p13@PGR,5241,8910,P06401,PGR,progesterone receptor,gene with protein product
98,p2@PGR,5241,8910,P06401,PGR,progesterone receptor,gene with protein product
99,p4@PGR,5241,8910,"Q8TDS3,Q8NG45,Q8NG44,Q8NG42",PGR,progesterone receptor,gene with protein product
100,p6@PGR,5241,8910,"Q8TDS3,Q8NG45,Q8NG44,Q8NG42",PGR,progesterone receptor,gene with protein product
101,p14@PGR,5241,8910,B4E3T0,PGR,progesterone receptor,gene with protein product
102,p5@PGR,5241,8910,B4E3T0,PGR,progesterone receptor,gene with protein product
103,p15@PGR,5241,8910,B4E3T0,PGR,progesterone receptor,gene with protein product
104,p3@PGR,5241,8910,"F5GXE8,P06401,Q8TDS3",PGR,progesterone receptor,gene with protein product
105,p1@PGR,5241,8910,"F5GXE8,P06401,Q8TDS3",PGR,progesterone receptor,gene with protein product
106,p15@YAP1,10413,16262,"E9PRV2,E3WEB6,P46937,Q86T74",YAP1,Yes associated protein 1,gene with protein product
107,p8@YAP1,10413,16262,"E9PRV2,E3WEB6,P46937,Q86T74",YAP1,Yes associated protein 1,gene with protein product
108,p4@YAP1,10413,16262,"E9PRV2,E3WEB6,P46937,Q86T74",YAP1,Yes associated protein 1,gene with protein product
109,p2@YAP1,10413,16262,"E9PRV2,E3WEB6,P46937,Q86T74",YAP1,Yes associated protein 1,gene with protein product
110,p1@YAP1,10413,16262,"E9PRV2,E3WEB6,P46937,Q86T74",YAP1,Yes associated protein 1,gene with protein product
111,p6@YAP1,10413,16262,"P46937,F5GWC5,F5H202",YAP1,Yes associated protein 1,gene with protein product
112,p9@YAP1,10413,16262,"P46937,F5GWC5,F5H202",YAP1,Yes associated protein 1,gene with protein product
113,p7@YAP1,10413,16262,"P46937,F5GWC5,F5H202",YAP1,Yes associated protein 1,gene with protein product
114,p5@YAP1,10413,16262,"P46937,F5GWC5,F5H202",YAP1,Yes associated protein 1,gene with protein product
115,p3@YAP1,10413,16262,,YAP1,Yes associated protein 1,gene with protein product
116,p11@YAP1,10413,16262,"E3WEB5,E3WEB6,P46937",YAP1,Yes associated protein 1,gene with protein product
117,p18@YAP1,10413,16262,"E3WEB5,E3WEB6,P46937",YAP1,Yes associated protein 1,gene with protein product
118,p10@YAP1,10413,16262,"B4DTY1,B7ZA01,P46937,Q86T74",YAP1,Yes associated protein 1,gene with protein product
119,p15@MMP1,4312,7155,Q96DZ4,MMP1,matrix metallopeptidase 1,gene with protein product
120,p2@MMP1,4312,7155,Q96DZ4,MMP1,matrix metallopeptidase 1,gene with protein product
121,p16@MMP1,4312,7155,Q96DZ4,MMP1,matrix metallopeptidase 1,gene with protein product
122,p17@MMP1,4312,7155,Q96DZ4,MMP1,matrix metallopeptidase 1,gene with protein product
123,p18@MMP1,4312,7155,Q96DZ4,MMP1,matrix metallopeptidase 1,gene with protein product
124,p19@MMP1,4312,7155,Q53G95,MMP1,matrix metallopeptidase 1,gene with protein product
125,p20@MMP1,4312,7155,Q53G95,MMP1,matrix metallopeptidase 1,gene with protein product
126,p5@MMP1,4312,7155,A5GZ69,MMP1,matrix metallopeptidase 1,gene with protein product
127,p3@MMP1,4312,7155,Q53G97,MMP1,matrix metallopeptidase 1,gene with protein product
128,p10@MMP1,4312,7155,,MMP1,matrix metallopeptidase 1,gene with protein product
129,p12@MMP1,4312,7155,,MMP1,matrix metallopeptidase 1,gene with protein product
130,p4@MMP1,4312,7155,,MMP1,matrix metallopeptidase 1,gene with protein product
131,p11@MMP1,4312,7155,,MMP1,matrix metallopeptidase 1,gene with protein product
132,p14@MMP1,4312,7155,,MMP1,matrix metallopeptidase 1,gene with protein product
133,p1@MMP1,4312,7155,P03956,MMP1,matrix metallopeptidase 1,gene with protein product
134,p17@ATM,472,795,E9PIN0,ATM,ATM serine/threonine kinase,gene with protein product
135,p3@ATM,472,795,Q13315,ATM,ATM serine/threonine kinase,gene with protein product
136,p7@ATM,472,795,E9PIQ5,ATM,ATM serine/threonine kinase,gene with protein product
137,p1@ATM,472,795,"E9PIQ5,E9PRG7",ATM,ATM serine/threonine kinase,gene with protein product
138,p5@ATM,472,795,,ATM,ATM serine/threonine kinase,gene with protein product
139,p2@ATM,472,795,Q6P7P1,ATM,ATM serine/threonine kinase,gene with protein product
140,p9@ATM,472,795,Q6P7P1,ATM,ATM serine/threonine kinase,gene with protein product
141,p4@ATM,472,795,Q6P7P1,ATM,ATM serine/threonine kinase,gene with protein product
142,p10@ATM,472,795,Q6P7P1,ATM,ATM serine/threonine kinase,gene with protein product
143,p1@CD44,960,1681,E7EPC6,CD44,CD44 molecule (Indian blood group),gene with protein product
144,p33@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
145,p12@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
146,p7@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
147,p11@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
148,p18@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
149,p3@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
150,p15@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
151,p2@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
152,p34@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
153,p10@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
154,p8@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
155,p5@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
156,p25@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
157,p6@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
158,p17@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
159,p23@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
160,p21@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
161,p31@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
162,p4@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
163,p35@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
164,p32@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
165,p14@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
166,p36@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
167,p37@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
168,p38@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
169,p39@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
170,p13@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
171,p30@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
172,p22@CD44,960,1681,,CD44,CD44 molecule (Indian blood group),gene with protein product
173,p7@RELA,5970,9955,E9PJR1,RELA,"RELA proto-oncogene, NF-kB subunit",gene with protein product
174,p12@RELA,5970,9955,E9PJR1,RELA,"RELA proto-oncogene, NF-kB subunit",gene with protein product
175,p1@RELA,5970,9955,"Q96CP1,E9PSE4,E9PN69,E9PNK5,E9PMD5,E9PKH5,E9PM47,B4E082",RELA,"RELA proto-oncogene, NF-kB subunit",gene with protein product
176,p2@RELA,5970,9955,E9PNV4,RELA,"RELA proto-oncogene, NF-kB subunit",gene with protein product
177,p4@RELA,5970,9955,,RELA,"RELA proto-oncogene, NF-kB subunit",gene with protein product
178,p3@RELA,5970,9955,Q04206,RELA,"RELA proto-oncogene, NF-kB subunit",gene with protein product
179,p5@RELA,5970,9955,Q04206,RELA,"RELA proto-oncogene, NF-kB subunit",gene with protein product
180,p8@RELA,5970,9955,Q04206,RELA,"RELA proto-oncogene, NF-kB subunit",gene with protein product
181,p2@BRMS1,25855,17262,E9PPD1,BRMS1,breast cancer metastasis suppressor 1,gene with protein product
182,p3@BRMS1,25855,17262,E9PPD1,BRMS1,breast cancer metastasis suppressor 1,gene with protein product
183,p1@BRMS1,25855,17262,"Q9HCU9,G5E9I4",BRMS1,breast cancer metastasis suppressor 1,gene with protein product
184,p21@GSTP1,2950,4638,P09211,GSTP1,glutathione S-transferase pi 1,gene with protein product
185,p10@GSTP1,2950,4638,P09211,GSTP1,glutathione S-transferase pi 1,gene with protein product
186,p4@GSTP1,2950,4638,A8MX94,GSTP1,glutathione S-transferase pi 1,gene with protein product
187,p2@GSTP1,2950,4638,,GSTP1,glutathione S-transferase pi 1,gene with protein product
188,p1@GSTP1,2950,4638,,GSTP1,glutathione S-transferase pi 1,gene with protein product
189,p9@GSTP1,2950,4638,,GSTP1,glutathione S-transferase pi 1,gene with protein product
190,p6@GSTP1,2950,4638,,GSTP1,glutathione S-transferase pi 1,gene with protein product
191,p12@GSTP1,2950,4638,,GSTP1,glutathione S-transferase pi 1,gene with protein product
192,p8@GSTP1,2950,4638,,GSTP1,glutathione S-transferase pi 1,gene with protein product
193,p5@GSTP1,2950,4638,,GSTP1,glutathione S-transferase pi 1,gene with protein product
194,p19@GSTP1,2950,4638,,GSTP1,glutathione S-transferase pi 1,gene with protein product
195,p20@GSTP1,2950,4638,,GSTP1,glutathione S-transferase pi 1,gene with protein product
196,p3@GSTP1,2950,4638,,GSTP1,glutathione S-transferase pi 1,gene with protein product
197,p22@GSTP1,2950,4638,,GSTP1,glutathione S-transferase pi 1,gene with protein product
198,p11@CCND1,595,1582,P24385,CCND1,cyclin D1,gene with protein product
199,p1@CCND1,595,1582,"F5H4R3,B4DR06",CCND1,cyclin D1,gene with protein product
200,p4@CCND1,595,1582,,CCND1,cyclin D1,gene with protein product
201,p6@CCND1,595,1582,,CCND1,cyclin D1,gene with protein product
202,p9@CCND1,595,1582,,CCND1,cyclin D1,gene with protein product
203,p10@CCND1,595,1582,,CCND1,cyclin D1,gene with protein product
204,p5@CCND1,595,1582,,CCND1,cyclin D1,gene with protein product
205,p12@CCND1,595,1582,,CCND1,cyclin D1,gene with protein product
206,p2@CCND1,595,1582,,CCND1,cyclin D1,gene with protein product
207,p7@CCND1,595,1582,,CCND1,cyclin D1,gene with protein product
208,p3@CCND1,595,1582,,CCND1,cyclin D1,gene with protein product
209,p2@IGF1,3479,5464,"Q14620,Q9NP10",IGF1,insulin like growth factor 1,gene with protein product
210,p9@IGF1,3479,5464,"Q14620,Q9NP10",IGF1,insulin like growth factor 1,gene with protein product
211,p6@IGF1,3479,5464,P05019,IGF1,insulin like growth factor 1,gene with protein product
212,p4@IGF1,3479,5464,P05019,IGF1,insulin like growth factor 1,gene with protein product
213,p5@IGF1,3479,5464,P05019,IGF1,insulin like growth factor 1,gene with protein product
214,p3@IGF1,3479,5464,P05019,IGF1,insulin like growth factor 1,gene with protein product
215,p1@IGF1,3479,5464,P05019,IGF1,insulin like growth factor 1,gene with protein product
216,p7@IGF1,3479,5464,"E9PD02,P05019,Q59GC5,Q5U743,Q13429",IGF1,insulin like growth factor 1,gene with protein product
217,p8@IGF1,3479,5464,E9PD02,IGF1,insulin like growth factor 1,gene with protein product
218,p11@CDKN1B,1027,1785,P46527,CDKN1B,cyclin dependent kinase inhibitor 1B,gene with protein product
219,p5@CDKN1B,1027,1785,P46527,CDKN1B,cyclin dependent kinase inhibitor 1B,gene with protein product
220,p4@CDKN1B,1027,1785,P46527,CDKN1B,cyclin dependent kinase inhibitor 1B,gene with protein product
221,p6@CDKN1B,1027,1785,P46527,CDKN1B,cyclin dependent kinase inhibitor 1B,gene with protein product
222,p12@CDKN1B,1027,1785,"P46527,Q6I9V6",CDKN1B,cyclin dependent kinase inhibitor 1B,gene with protein product
223,p1@CDKN1B,1027,1785,"P46527,Q6I9V6",CDKN1B,cyclin dependent kinase inhibitor 1B,gene with protein product
224,p3@CDKN1B,1027,1785,B4DPH2,CDKN1B,cyclin dependent kinase inhibitor 1B,gene with protein product
225,p2@CDKN1B,1027,1785,B4DPH2,CDKN1B,cyclin dependent kinase inhibitor 1B,gene with protein product
226,p1@KRAS,3845,6407,"G3V4K2,G3V5T7,P01116",KRAS,"KRAS proto-oncogene, GTPase",gene with protein product
227,p2@KRAS,3845,6407,G3V5T7,KRAS,"KRAS proto-oncogene, GTPase",gene with protein product
228,p3@FOXM1,2305,3818,Q08050,FOXM1,forkhead box M1,gene with protein product
229,p2@FOXM1,2305,3818,,FOXM1,forkhead box M1,gene with protein product
230,p1@FOXM1,2305,3818,"Q08050,A8K591,Q53Y49",FOXM1,forkhead box M1,gene with protein product
231,p4@VDR,7421,12679,,VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",gene with protein product
232,p12@VDR,7421,12679,F8VVY8,VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",gene with protein product
233,p3@VDR,7421,12679,F8VVY8,VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",gene with protein product
234,p7@VDR,7421,12679,F8VVY8,VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",gene with protein product
235,p11@VDR,7421,12679,F8VVY8,VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",gene with protein product
236,p8@VDR,7421,12679,F8VVY8,VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",gene with protein product
237,p10@VDR,7421,12679,F8VVY8,VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",gene with protein product
238,p2@VDR,7421,12679,G3V1V9,VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",gene with protein product
239,p1@VDR,7421,12679,"P11473,B4DRV7,F8VRJ4,F8VXQ9,F8VPF8,G3V1V9,F1D8P8",VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",gene with protein product
240,p3@SP1,6667,11205,,SP1,Sp1 transcription factor,gene with protein product
241,p1@SP1,6667,11205,"P08047,E4Z9M7",SP1,Sp1 transcription factor,gene with protein product
242,p10@SP1,6667,11205,"E4Z9M7,P08047",SP1,Sp1 transcription factor,gene with protein product
243,p4@SP1,6667,11205,"E4Z9M7,P08047",SP1,Sp1 transcription factor,gene with protein product
244,p34@SP1,6667,11205,G5E9M8,SP1,Sp1 transcription factor,gene with protein product
245,p2@SP1,6667,11205,,SP1,Sp1 transcription factor,gene with protein product
246,p35@SP1,6667,11205,,SP1,Sp1 transcription factor,gene with protein product
247,p36@SP1,6667,11205,,SP1,Sp1 transcription factor,gene with protein product
248,p37@SP1,6667,11205,C4PGM0,SP1,Sp1 transcription factor,gene with protein product
249,p38@SP1,6667,11205,C4PGM0,SP1,Sp1 transcription factor,gene with protein product
250,p4@HOTAIR,,33510,,HOTAIR,HOX transcript antisense RNA,"RNA, long non-coding"
251,p1@HOTAIR,100124700,33510,,HOTAIR,HOX transcript antisense RNA,"RNA, long non-coding"
252,p5@HOTAIR,100124700,33510,,HOTAIR,HOX transcript antisense RNA,"RNA, long non-coding"
253,p6@HOTAIR,100124700,33510,,HOTAIR,HOX transcript antisense RNA,"RNA, long non-coding"
254,p7@HOTAIR,100124700,33510,,HOTAIR,HOX transcript antisense RNA,"RNA, long non-coding"
255,p3@ERBB3,2065,3431,"P21860,F8VW48,F8VRL0",ERBB3,erb-b2 receptor tyrosine kinase 3,gene with protein product
256,p5@ERBB3,2065,3431,P21860,ERBB3,erb-b2 receptor tyrosine kinase 3,gene with protein product
257,p2@ERBB3,2065,3431,"E7ENT9,P21860",ERBB3,erb-b2 receptor tyrosine kinase 3,gene with protein product
258,p4@ERBB3,2065,3431,,ERBB3,erb-b2 receptor tyrosine kinase 3,gene with protein product
259,p1@ERBB3,2065,3431,"F8VRI5,B4DGQ7",ERBB3,erb-b2 receptor tyrosine kinase 3,gene with protein product
260,p6@ERBB3,2065,3431,"P21860,F8VX90",ERBB3,erb-b2 receptor tyrosine kinase 3,gene with protein product
261,p3@CDK4,1019,1773,F8VWX7,CDK4,cyclin dependent kinase 4,gene with protein product
262,p4@CDK4,1019,1773,F8VWX7,CDK4,cyclin dependent kinase 4,gene with protein product
263,p5@CDK4,1019,1773,,CDK4,cyclin dependent kinase 4,gene with protein product
264,p1@CDK4,1019,1773,"Q96BE9,B4DNF9,F8VZ51,F8VZZ0,F8VTV8,F8VYH9,F8VYY1",CDK4,cyclin dependent kinase 4,gene with protein product
265,p2@CDK4,1019,1773,"F8VZ13,F8VXD2",CDK4,cyclin dependent kinase 4,gene with protein product
266,p1@MDM2,4193,6973,"E9PF57,Q96DS0,Q00987",MDM2,MDM2 proto-oncogene,gene with protein product
267,p3@MDM2,4193,6973,"A7UKX8,E7EMW5,A7UKY0,A7UKX7",MDM2,MDM2 proto-oncogene,gene with protein product
268,p2@MDM2,4193,6973,"A7UKX8,E7EPE2,E7EMW5,A7UKY0,A7UKX7",MDM2,MDM2 proto-oncogene,gene with protein product
269,p4@MDM2,4193,6973,"Q00987,Q9H4C5,E5RHE2,E5RJQ0,Q96DS5,Q9H4C3,F5H1M7,F5H4Q8,F5GZC3,F5GWH7,F5GZB0",MDM2,MDM2 proto-oncogene,gene with protein product
270,p5@MDM2,4193,6973,,MDM2,MDM2 proto-oncogene,gene with protein product
271,p15@MDM2,4193,6973,,MDM2,MDM2 proto-oncogene,gene with protein product
272,p7@MDM2,4193,6973,,MDM2,MDM2 proto-oncogene,gene with protein product
273,p14@MDM2,4193,6973,,MDM2,MDM2 proto-oncogene,gene with protein product
274,p3@BRCA2,675,1101,P51587,BRCA2,"BRCA2, DNA repair associated",gene with protein product
275,p1@BRCA2,675,1101,"P51587,E9PIQ1",BRCA2,"BRCA2, DNA repair associated",gene with protein product
276,p2@BRCA2,675,1101,E9PIQ1,BRCA2,"BRCA2, DNA repair associated",gene with protein product
277,p4@BRCA2,675,1101,E9PIQ1,BRCA2,"BRCA2, DNA repair associated",gene with protein product
278,p5@BRCA2,675,1101,A1YBP1,BRCA2,"BRCA2, DNA repair associated",gene with protein product
279,p1@TNFSF11,8600,11926,"O14788,Q5T9Y4",TNFSF11,tumor necrosis factor superfamily member 11,gene with protein product
